Panelist,Cheese,Preference Rank
Panelist 1,Cheese1,3
Panelist 1,Cheese2,2
Panelist 1,Cheese3,5
Panelist 1,Cheese4,4
Panelist 1,Cheese5,1
Panelist 2,Cheese1,2
Panelist 2,Cheese2,1
Panelist 2,Cheese3,5
Panelist 2,Cheese4,4
Panelist 2,Cheese5,3
Panelist 3,Cheese1,5
Panelist 3,Cheese2,2
Panelist 3,Cheese3,3
Panelist 3,Cheese4,4
Panelist 3,Cheese5,1
Panelist 4,Cheese1,3
Panelist 4,Cheese2,5
Panelist 4,Cheese3,4
Panelist 4,Cheese4,1
Panelist 4,Cheese5,2
Panelist 5,Cheese1,3
Panelist 5,Cheese2,1
Panelist 5,Cheese3,4
Panelist 5,Cheese4,2
Panelist 5,Cheese5,5
Panelist 6,Cheese1,4
Panelist 6,Cheese2,3
Panelist 6,Cheese3,2
Panelist 6,Cheese4,1
Panelist 6,Cheese5,5
Panelist 7,Cheese1,2
Panelist 7,Cheese2,1
Panelist 7,Cheese3,4
Panelist 7,Cheese4,5
Panelist 7,Cheese5,3
Panelist 8,Cheese1,2
Panelist 8,Cheese2,3
Panelist 8,Cheese3,5
Panelist 8,Cheese4,1
Panelist 8,Cheese5,4
Panelist 9,Cheese1,4
Panelist 9,Cheese2,3
Panelist 9,Cheese3,2
Panelist 9,Cheese4,5
Panelist 9,Cheese5,1
Panelist 10,Cheese1,2
Panelist 10,Cheese2,4
Panelist 10,Cheese3,3
Panelist 10,Cheese4,1
Panelist 10,Cheese5,5
Panelist 11,Cheese1,1
Panelist 11,Cheese2,4
Panelist 11,Cheese3,2
Panelist 11,Cheese4,3
Panelist 11,Cheese5,5
Panelist 12,Cheese1,1
Panelist 12,Cheese2,4
Panelist 12,Cheese3,5
Panelist 12,Cheese4,2
Panelist 12,Cheese5,3
Panelist 13,Cheese1,2
Panelist 13,Cheese2,3
Panelist 13,Cheese3,5
Panelist 13,Cheese4,1
Panelist 13,Cheese5,4
Panelist 14,Cheese1,1
Panelist 14,Cheese2,4
Panelist 14,Cheese3,5
Panelist 14,Cheese4,2
Panelist 14,Cheese5,3
Panelist 15,Cheese1,3
Panelist 15,Cheese2,4
Panelist 15,Cheese3,1
Panelist 15,Cheese4,5
Panelist 15,Cheese5,2
Panelist 16,Cheese1,5
Panelist 16,Cheese2,4
Panelist 16,Cheese3,3
Panelist 16,Cheese4,2
Panelist 16,Cheese5,1
Panelist 17,Cheese1,5
Panelist 17,Cheese2,3
Panelist 17,Cheese3,2
Panelist 17,Cheese4,1
Panelist 17,Cheese5,4
Panelist 18,Cheese1,5
Panelist 18,Cheese2,3
Panelist 18,Cheese3,1
Panelist 18,Cheese4,4
Panelist 18,Cheese5,2
Panelist 19,Cheese1,5
Panelist 19,Cheese2,4
Panelist 19,Cheese3,2
Panelist 19,Cheese4,3
Panelist 19,Cheese5,1
Panelist 20,Cheese1,2
Panelist 20,Cheese2,3
Panelist 20,Cheese3,4
Panelist 20,Cheese4,5
Panelist 20,Cheese5,1
Panelist 21,Cheese1,2
Panelist 21,Cheese2,4
Panelist 21,Cheese3,1
Panelist 21,Cheese4,5
Panelist 21,Cheese5,3
Panelist 22,Cheese1,3
Panelist 22,Cheese2,5
Panelist 22,Cheese3,4
Panelist 22,Cheese4,1
Panelist 22,Cheese5,2
Panelist 23,Cheese1,5
Panelist 23,Cheese2,4
Panelist 23,Cheese3,2
Panelist 23,Cheese4,1
Panelist 23,Cheese5,3
Panelist 24,Cheese1,1
Panelist 24,Cheese2,4
Panelist 24,Cheese3,5
Panelist 24,Cheese4,3
Panelist 24,Cheese5,2
Panelist 25,Cheese1,5
Panelist 25,Cheese2,4
Panelist 25,Cheese3,1
Panelist 25,Cheese4,2
Panelist 25,Cheese5,3
