Panelist,Smoothies,X,Y
P1,Carrefour_MP,22.5,18
P1,Carrefour_SB,8,33
P1,Casino_PBC,11,36
P1,Casino_SRB,30,37
P1,Immedia_MP,7.5,17
P1,Immedia_SRB,34,33
P1,Innocent_PBC,6.5,35
P1,Innocent_SB,37.5,37
P2,Carrefour_MP,5.5,24
P2,Carrefour_SB,6,16
P2,Casino_PBC,17,31.5
P2,Casino_SRB,56,26
P2,Immedia_MP,3,32.5
P2,Immedia_SRB,34,20
P2,Innocent_PBC,18,24
P2,Innocent_SB,56,22
P3,Carrefour_MP,39.5,21
P3,Carrefour_SB,25,23.8
P3,Casino_PBC,25,17
P3,Casino_SRB,41,24
P3,Immedia_MP,23.5,23.5
P3,Immedia_SRB,37.5,25.5
P3,Innocent_PBC,24,18.5
P3,Innocent_SB,23.8,22.5
P4,Carrefour_MP,16,26.5
P4,Carrefour_SB,35,29
P4,Casino_PBC,11,32
P4,Casino_SRB,41.5,32
P4,Immedia_MP,16,28.5
P4,Immedia_SRB,7,23
P4,Innocent_PBC,12,31
P4,Innocent_SB,32.5,32.8
P5,Carrefour_MP,53,33
P5,Carrefour_SB,19,16
P5,Casino_PBC,40,8
P5,Casino_SRB,40.5,25
P5,Immedia_MP,47.5,28
P5,Immedia_SRB,41,34
P5,Innocent_PBC,45,8
P5,Innocent_SB,14,22
P6,Carrefour_MP,44,6
P6,Carrefour_SB,37,28
P6,Casino_PBC,12.5,31
P6,Casino_SRB,14.5,10
P6,Immedia_MP,47,7.5
P6,Immedia_SRB,44.2,11
P6,Innocent_PBC,14.5,15.5
P6,Innocent_SB,22,10.5
P7,Carrefour_MP,5.8,23.5
P7,Carrefour_SB,37,28
P7,Casino_PBC,46,27.5
P7,Casino_SRB,19.5,22.5
P7,Immedia_MP,5,18
P7,Immedia_SRB,28,12
P7,Innocent_PBC,20,19
P7,Innocent_SB,9.5,21
P8,Carrefour_MP,29,25.5
P8,Carrefour_SB,26,36
P8,Casino_PBC,16.3,23
P8,Casino_SRB,20,10.8
P8,Immedia_MP,25,22
