Panelist,Smoothies,Comments
P1,Immedia_MP,strong taste;slight pieces;slightly acidic
P1,Carrefour_MP,acid;sweet;citrus fruits
P1,Immedia_SRB,few lumps;bad texture;taste like tea
P1,Casino_SRB,few lumps;bad texture;taste like tea
P1,Innocent_PBC,very soft;exotic fruits;creamy texture
P1,Casino_PBC,very soft;exotic fruits;creamy texture
P1,Innocent_SB,few lumps;bad texture;taste like tea
P1,Carrefour_SB,very soft;exotic fruits;creamy texture
P2,Immedia_MP,strong taste
P2,Carrefour_MP,strong taste
P2,Immedia_SRB,nippy
P2,Casino_SRB,bitterness
P2,Innocent_PBC,banana
P2,Casino_PBC,banana
P2,Innocent_SB,bitterness
P2,Carrefour_SB,very creamy;slight fruity taste
P3,Immedia_MP,G1
P3,Carrefour_MP,G2
P3,Immedia_SRB,G2
P3,Casino_SRB,G2
P3,Innocent_PBC,G3
P3,Casino_PBC,G3
P3,Innocent_SB,G1
P3,Carrefour_SB,G1
P4,Immedia_MP,acidity
P4,Carrefour_MP,acidity
P4,Immedia_SRB,acidity
P4,Casino_SRB,thick liquid;sickly sweet taste
P4,Innocent_PBC,coco
P4,Casino_PBC,coco
P4,Innocent_SB,thick liquid;sickly sweet taste
P4,Carrefour_SB,thick liquid;sickly sweet taste
P5,Immedia_MP,exotic fruits;acid
P5,Carrefour_MP,exotic fruits;acid
P5,Immedia_SRB,exotic fruits;acid
P5,Casino_SRB,exotic fruits;acid
P5,Innocent_PBC,banana flavor;heavy
P5,Casino_PBC,banana flavor;heavy
P5,Innocent_SB,unknown taste;heavy
P5,Carrefour_SB,unknown taste;heavy
P6,Immedia_MP,acid
P6,Carrefour_MP,acid
P6,Immedia_SRB,acid
P6,Casino_SRB,sweet;less acidic
P6,Innocent_PBC,sweet;less acidic
P6,Casino_PBC,tasteless
P6,Innocent_SB,sweet;less acidic
P6,Carrefour_SB,too bitter
P7,Immedia_MP,pulp;fruity
P7,Carrefour_MP,pulp;fruity
P7,Immedia_SRB,no pulp;exotic
P7,Casino_SRB,pulp;sweet
P7,Innocent_PBC,pulp;sweet
P7,Casino_PBC,no pulp;exotic
P7,Innocent_SB,pulp;fruity
P7,Carrefour_SB,bitter
P8,Immedia_MP,sweet
P8,Carrefour_MP,acid
P8,Immedia_SRB,acid
P8,Casino_SRB,acid
P8,Innocent_PBC,sweet
P8,Casino_PBC,sweet
P8,Innocent_SB,sweet
P8,Carrefour_SB,nicer;less sweet
P9,Immedia_MP,more or less acid
P9,Carrefour_MP,more or less acid
P9,Immedia_SRB,more or less acid
P9,Casino_SRB,more or less tasteless
P9,Innocent_PBC,more or less sweet
P9,Casino_PBC,more or less sweet
P9,Innocent_SB,strong taste
P9,Carrefour_SB,more or less tasteless
P10,Immedia_MP,pineapple
P10,Carrefour_MP,acid;with small grains like guava or strawberry
P10,Immedia_SRB,acid;with small grains like guava or strawberry
P10,Casino_SRB,acid;with small grains like guava or strawberry
P10,Innocent_PBC,banana;coco;soft;sweet
P10,Casino_PBC,banana;coco;soft;sweet
P10,Innocent_SB,pineapple
P10,Carrefour_SB,banana;coco;soft;sweet
P11,Immedia_MP,exotic
P11,Carrefour_MP,exotic
P11,Immedia_SRB,strawberry
P11,Casino_SRB,exotic
P11,Innocent_PBC,exotic
P11,Casino_PBC,soft
P11,Innocent_SB,strawberry
P11,Carrefour_SB,soft
P12,Immedia_MP,peach;apricot
P12,Carrefour_MP,peach;apricot
P12,Immedia_SRB,banana
P12,Casino_SRB,peach;apricot
P12,Innocent_PBC,banana
P12,Casino_PBC,banana
P12,Innocent_SB,strawberry;raspberry
P12,Carrefour_SB,peach;apricot
P13,Immedia_MP,soft fruits
P13,Carrefour_MP,orange juice
P13,Immedia_SRB,soft fruits
P13,Casino_SRB,soft fruits
P13,Innocent_PBC,banana;nippy;citrus fruits
P13,Casino_PBC,thick;pure;banana;vanilla
P13,Innocent_SB,mixture
P13,Carrefour_SB,banana;nippy;citrus fruits
P14,Immedia_MP,liquid;few pieces;I like
P14,Carrefour_MP,fruit taste;cold
P14,Immedia_SRB,I hate
P14,Casino_SRB,liquid;few pieces;I like
P14,Innocent_PBC,I hate
P14,Casino_PBC,I hate
P14,Innocent_SB,strawberry raspberry taste;intense
P14,Carrefour_SB,undefinable
P15,Immedia_MP,summer;exotic;slightly acid
P15,Carrefour_MP,summer;exotic;slightly acid
P15,Immedia_SRB,soft fruits;sorbets
P15,Casino_SRB,soft fruits;sorbets
P15,Innocent_PBC,sickly;I dont like
P15,Casino_PBC,sickly;I dont like
P15,Innocent_SB,soft fruits;sorbets
P15,Carrefour_SB,sickly;I dont like
P16,Immedia_MP,acid
P16,Carrefour_MP,acid
